Trade Date,F1,F2,F3,F4,F5,F6,F7
1/3/2013,15.9,16.92,18.12,18.92,19.61,20.4,21.39
1/4/2013,15.3,16.67,18.02,18.73,19.53,20.24,21.11
1/7/2013,14.75,16.42,17.95,18.79,19.59,20.34,21.17
1/8/2013,14.65,16.43,17.87,18.67,19.41,20.17,21.14
1/9/2013,14.7,16.37,17.94,18.58,19.44,20.04,20.88
1/10/2013,14.2,16.08,17.74,18.38,19,19.89,20.59
1/11/2013,14.14,15.98,17.64,18.33,19.07,19.68,20.48
1/14/2013,14.09,15.94,17.33,18.19,18.78,19.54,20.28
1/15/2013,14.2,15.76,17.24,18.15,18.88,19.53,20.28
1/16/2013,15.5,17.07,17.94,18.64,19.33,20.07,20.72
1/17/2013,15.69,16.98,17.86,18.53,19.07,19.78,20.41
1/18/2013,14.65,16.28,17.23,17.82,18.44,19.12,19.78
1/22/2013,14.05,15.37,16.48,17.1,17.79,18.55,19.18
1/23/2013,13.69,15.03,16.23,16.97,17.6,18.26,18.89
1/24/2013,13.94,15.08,16.13,16.89,17.54,18.19,18.83
1/25/2013,14.09,15.13,16.08,16.79,17.43,18.08,18.72
1/28/2013,14.59,15.32,16.27,16.87,17.51,18.18,18.71
1/29/2013,14.04,14.92,15.97,16.68,17.32,18.02,18.67
1/30/2013,15.15,15.76,16.57,17.12,17.68,18.37,18.92
1/31/2013,14.9,15.71,16.71,17.31,17.81,18.47,19.04
2/1/2013,14.29,15.38,16.31,17.02,17.72,18.42,18.97
2/4/2013,15.29,15.86,16.73,17.28,17.88,18.55,19.12
2/5/2013,14.39,15.57,16.57,17.18,17.76,18.47,19.03
2/6/2013,14.15,15.33,16.43,17.04,17.63,18.28,18.92
2/7/2013,14.09,15.31,16.32,16.99,17.54,18.22,18.87
2/8/2013,13.8,15.01,16.07,16.67,17.31,17.96,18.57
2/11/2013,13.5,14.93,15.82,16.47,17.08,17.77,18.42
2/12/2013,13,14.78,15.78,16.44,16.98,17.7,18.37
2/13/2013,14.75,15.82,16.53,17.02,17.61,18.18,18.87
2/14/2013,14.55,15.72,16.42,17.04,17.68,18.33,18.86
2/15/2013,14.5,15.62,16.39,17.09,17.74,18.39,19.03
2/19/2013,13.89,14.92,15.74,16.54,17.26,17.92,18.62
